Transaction Date,Details,Account,Category,Subcategory,Notes,Debit,Credit,Balance,Original Description
02-12-2022,Bell Inc,Transaction Account,Transportation,Parking & Tolls,Tax cost Republican why military will actually.,453.56,,40635.2,Investment suddenly involve foot deep believe stand.
25-11-2022,Green-Villa,Transaction Account,Health & Medical,Pharmacies,Religious race room over friend high whose.,469.59,,32917.51,State through attention develop building.
11-06-2022,"Wilson, Aguilar and Martin",Transaction Account,Insurance,Financial Insurance,Decade five live particular its former.,430.91,,44545.24,Question peace thousand safe cup amount case.
12-12-2022,"Boyd, Perez and Peterson",Transaction Account,Technology,Online Services,Resource machine fact skill ok election.,645.1,,44869.71,Whom second employee watch represent allow.
11-06-2022,Reynolds Group,Transaction Account,Insurance,Financial Insurance,Easy energy true hold.,478.72,,35983.92,Ask happy after or capital lawyer research.
02-12-2022,Howard-Blevins,Transaction Account,Home,Furnishings,Feeling thousand avoid small decision.,445.72,,27519.98,Second education view direction right walk even.
22-06-2022,Parker-Meyer,Transaction Account,Utilities,Pay TV,Religious two everybody firm.,11.03,,13978.12,Well wrong appear low.
14-05-2023,Phillips Inc,Transaction Account,Personal,Clothing,End action key station it sister science whole.,21.64,,23831.53,Officer rate low test himself sign.
10-03-2023,Palmer-Fletcher,Transaction Account,Utilities,Pay TV,Whom necessary final new.,457.87,,47835.35,System night identify month say apply course peace.
07-10-2022,Smith PLC,Transaction Account,Travel,Tours & Cruises,Star old standard.,588.24,,29383.2,Material marriage how western.
27-12-2022,Howell-Smith,Transaction Account,Travel,Travel Entertainment,Player choose third black.,509.77,,32247.36,Laugh spend spring wear.
25-11-2022,"West, Hill and Greene",Transaction Account,Gifts & Donations,Gifts,Simple may sense price because prevent.,743.23,,24883.96,Table true plant land choose black.
19-12-2022,Sutton-Patel,Transaction Account,Health & Medical,Eyes,Part politics determine paper professional.,705.45,,13307.3,Girl vote story.
22-05-2023,Cook-Chapman,Transaction Account,Financial,Transfers,Build family season east place avoid letter.,681.67,,19507.85,Front option religious style.
11-10-2022,Beasley-Hill,Transaction Account,Financial,Cash Withdrawals,Writer goal director receive fact maybe better.,82.25,,15803.53,Building suggest less model develop whatever leave.
07-09-2022,Sanders-White,Transaction Account,Gifts & Donations,Gifts,Land action pattern sea worker assume.,273.02,,34458.49,Civil range company.
07-09-2022,Daniels-Fox,Transaction Account,Utilities,Phone,Some whole everything but be strategy real.,220.44,,47883.05,Send might mother.
19-03-2023,"Davis, Sharp and Bowen",Transaction Account,Home,Furnishings,Chance we rise occur pull inside.,242.98,,38267.06,Keep through after both heavy year.
20-06-2022,Gallegos-Garcia,Transaction Account,Health & Medical,Eyes,Two computer employee instead.,193.27,,48321.52,Standard government town example throw night amount.
02-10-2022,"Wilson, Hernandez and Brown",Transaction Account,Home,Furnishings,Hear spend current suggest citizen.,657.74,,42330.11,Day analysis push become note long pull consumer.
16-09-2022,"Willis, Barnes and White",Transaction Account,Personal,Clothing,North question tough work yard management maintain.,228.34,,36150.7,Window five between kid.
18-07-2022,Hall-Miller,Transaction Account,Insurance,Financial Insurance,Feeling hour though other can area why.,668.76,,14884.77,Mission strategy cause everyone.
28-03-2023,Pacheco Ltd,Transaction Account,Food & Drink,Groceries,Alone wear treatment allow treat black fall from.,186.85,,21549.13,Issue responsibility none middle federal within.
08-12-2022,"Costa, Taylor and Williams",Transaction Account,Utilities,"Electricity, Gas & Water",During speech get central notice recent.,144.72,,20056.68,Safe subject stage article air.
17-03-2023,Cooper PLC,Transaction Account,Home,Furnishings,Crime take half natural source.,219.74,,29583.59,Prove personal husband through big.
01-03-2023,"Crawford, Pollard and Mcgrath",Transaction Account,Gifts & Donations,Gifts,Sister interview find camera.,448.26,,42052.04,Step although financial personal southern build.
04-05-2023,Velez-Collins,Transaction Account,Leisure,Music,Public eye only site improve all.,703.82,,18159.33,They capital claim.
08-07-2022,"Pratt, Taylor and Duncan",Transaction Account,Services,Government,Customer another wait focus establish idea alone.,612.02,,44854.92,Grow common resource music.
29-10-2022,Turner-Brown,Transaction Account,Home,Furnishings,Eight floor life away stuff brother moment.,491.08,,37847.97,Half ability space reveal couple politics.
10-05-2023,Parker and Sons,Transaction Account,Education,Stationery,Recent chair often recently fact.,125.75,,48290.91,Morning authority factor throw senior.
04-03-2023,Gross PLC,Transaction Account,Technology,Software,When interest increase.,572.97,,40521.69,Draw coach amount amount every need after administration.
16-02-2023,"Morris, Bowen and Banks",Transaction Account,Food & Drink,Fast Food,Like few voice especially different.,406.75,,20617.76,Pressure report film onto nearly room feel.
21-02-2023,"Garcia, Davis and Jones",Transaction Account,Education,Stationery,Debate door summer much of.,697.32,,13503.86,Official age boy whatever season spring.
21-03-2023,Hoover PLC,Transaction Account,Food & Drink,Other Food Expenses,Hope herself trip.,249.77,,13960.29,Citizen pretty director example body.
22-03-2023,"Gibbs, Harmon and Simpson",Transaction Account,Health & Medical,Eyes,Hope drop prove in or.,558.61,,18067.9,Threat everyone past why total those test month.
29-07-2022,Walton-Sanders,Transaction Account,Travel,Tours & Cruises,Ground money yes science goal morning final.,40.89,,29027.85,Sing get need arm tell.
23-02-2023,Ortega-Stevens,Transaction Account,Income,Salary,Situation go recent research note name I billion.,,991.23,33896.05,Often forget act discover pretty local yes knowledge.
16-12-2022,Macias Ltd,Transaction Account,Travel,Travel Entertainment,Dog whole small.,100.94,,46850.65,Common low report report.
18-12-2022,"Holder, Campbell and Munoz",Transaction Account,Leisure,Music,Public senior dark change your cost world sell.,217.51,,35815.61,Grow near kitchen arm would section.
11-11-2022,Perry Inc,Transaction Account,Income,Salary,Song resource move gun fish five.,,631.84,27613.7,Lose voice total evidence ok protect outside.
10-04-2023,Wiggins PLC,Transaction Account,Personal,Clothing,Watch list rate.,192.06,,41978.36,Year direction admit poor seat play.
11-03-2023,Miller-Mcguire,Transaction Account,Services,Government,Respond hope end military hear.,567.54,,30212.03,Middle change theory world agency onto.
20-01-2023,"Alvarez, Joseph and Hester",Transaction Account,Gifts & Donations,Gifts,Together letter traditional in yard sit pretty.,57.15,,23290.21,Bad general today perform thought.
23-12-2022,Baker-Graham,Transaction Account,Leisure,Movies,Forget including firm film.,296.12,,12856.75,Control down new suffer word before we rock.
16-07-2022,"Alvarez, Barnett and Harrison",Transaction Account,Insurance,Financial Insurance,Those property region piece.,32.73,,20081.53,Author surface pretty condition.
12-01-2023,Simon Ltd,Transaction Account,Technology,Online Services,Likely discover heart course.,114.06,,49023.11,Government man fact do doctor political have walk.
18-02-2023,Thompson-Rodriguez,Transaction Account,Financial,Cash Withdrawals,Spend moment science suggest probably reach care.,103.48,,25997.26,Well now popular.
06-12-2022,Jones Ltd,Transaction Account,Leisure,Movies,War tell project see can.,73.0,,47260.46,Society effect result.
13-04-2023,Hill-Brock,Transaction Account,Technology,Online Services,Baby into once name claim various scene should.,755.27,,10505.86,Hotel direction example thought.
28-08-2022,Olsen-Lin,Transaction Account,Services,Government,Despite anyone continue could investment single.,56.54,,49962.46,Return memory former market lot former within more.
21-12-2022,Myers Inc,Transaction Account,Utilities,Pay TV,Part involve let consider safe.,415.51,,30223.72,Because hundred role popular.
03-12-2022,"White, Nielsen and Jenkins",Transaction Account,Gifts & Donations,Gifts,Yard traditional citizen his between seat.,55.62,,42383.38,Raise purpose various middle Mr former live huge.
07-10-2022,"Fisher, Fields and Ramsey",Transaction Account,Travel,Travel Entertainment,Wife deep bar join.,129.24,,26159.05,Perform a each everybody.
27-09-2022,Norman-Frazier,Transaction Account,Gifts & Donations,Gifts,Down vote light need everybody direction yet.,181.44,,47127.96,Bring turn fact company benefit teach.
28-04-2023,"Smith, Allen and Hernandez",Transaction Account,Leisure,Fun,Money doctor person.,740.82,,46586.55,Mission three better pick common.
18-07-2022,Cline PLC,Transaction Account,Food & Drink,Other Food Expenses,Drug specific degree husband think.,580.07,,43836.99,Provide discussion sometimes keep computer necessary food.
11-02-2023,Green PLC,Transaction Account,Leisure,Dance,Growth law your hospital.,163.38,,15937.69,Human three career baby.
04-01-2023,Kerr Ltd,Transaction Account,Personal,Clothing,Sure Congress who building military.,720.86,,14543.51,Bad collection success under.
04-04-2023,Johnson and Sons,Transaction Account,Leisure,Movies,Arm since see population.,601.15,,32287.81,Throughout tonight interest owner property population.
20-02-2023,Ross Ltd,Transaction Account,Transportation,Parking & Tolls,Available term rest everyone.,664.21,,42107.42,Wonder politics decade like address.
14-12-2022,Davis-Richardson,Transaction Account,Health & Medical,Other Health Expenses,Marriage president law.,387.67,,47972.07,Center clearly push close while not.
31-07-2022,"Navarro, Patel and Alvarado",Transaction Account,Leisure,Movies,Identify follow decade general.,203.14,,15351.83,Law point buy.
03-01-2023,"Fuller, Mitchell and Skinner",Transaction Account,Travel,Flights,Too game somebody sport no task must improve.,562.29,,30613.36,Worry author style force include.
17-11-2022,Nelson-Davies,Transaction Account,Services,Government,Color range account budget present PM public.,278.7,,46482.74,Yeah television above.
30-04-2023,"Walters, Meyers and Shelton",Transaction Account,Transportation,Taxis,Leave recent whether hope economy again.,621.74,,39593.55,Example late head give tend public.
03-03-2023,Dawson and Sons,Transaction Account,Home,Furnishings,Design less customer expert.,353.12,,10779.99,So fear herself several do.
02-04-2023,Lam Group,Transaction Account,Insurance,Financial Insurance,Whether sport ok national site amount race.,199.61,,21311.0,Four writer body majority name.
05-04-2023,Cabrera Group,Transaction Account,Transportation,Taxis,Control production where college.,397.66,,10938.09,Alone local bring inside concern him stage.
18-10-2022,Cooper Group,Transaction Account,Education,Stationery,Technology worry her physical think threat.,197.09,,11886.74,How final practice live maybe foreign left.
27-03-2023,"Powers, Campbell and Anderson",Transaction Account,Technology,Software,Low decade who well tree article.,119.51,,18349.33,Up spring good air plant worker.
02-02-2023,Wilkinson-Fuentes,Transaction Account,Personal,Clothing,Program pressure time for find economy.,700.74,,26256.69,Medical call throughout commercial.
25-05-2023,Arnold-Khan,Transaction Account,Travel,Accommodation,Quality cultural focus try.,436.83,,34443.62,Under president of.
07-01-2023,Chapman Ltd,Transaction Account,Utilities,Phone,Carry local degree list bring.,38.45,,13272.39,American perform sister.
11-10-2022,Lang Ltd,Transaction Account,Services,Government,Policy through though space physical.,683.72,,16065.02,Possible Mr establish expert enough appear focus eat.
24-06-2022,"Frederick, Johnson and Fowler",Transaction Account,Technology,Hardware,Girl color all.,778.8,,46111.64,American better player discover any history.
19-05-2023,"Brown, Stewart and Sanders",Transaction Account,Gifts & Donations,Gifts,Though month mean.,259.84,,27353.59,Attack policy available bill friend threat.
09-07-2022,"Moore, Sims and Freeman",Transaction Account,Travel,Accommodation,Treatment land lawyer security artist attorney.,511.57,,37988.18,Side father eight human couple tend best.
20-09-2022,Patterson-Adkins,Transaction Account,Travel,Flights,Pm suggest ability space body imagine evening.,394.77,,46714.89,Why network artist option husband ever hit.
